row_id,intent_complexity,risk_level,prior_failed_attempts,context_missing,needs_human_judgment
E001,1,0,0,0,0
E002,1,0,0,1,0
E003,1,0,1,0,0
E004,1,0,1,1,0
E005,1,0,2,0,0
E006,1,0,2,1,0
E007,1,1,0,0,0
E008,1,1,0,1,0
E009,1,1,1,0,0
E010,1,1,1,1,1
E011,1,1,2,0,0
E012,1,1,2,1,1
E013,2,0,0,0,0
E014,2,0,0,1,0
E015,2,0,1,0,0
E016,2,0,1,1,0
E017,2,0,2,0,0
E018,2,0,2,1,1
E019,2,1,0,0,0
E020,2,1,0,1,1
E021,2,1,1,0,0
E022,2,1,1,1,1
E023,2,1,2,0,1
E024,2,1,2,1,1
E025,3,0,0,0,0
E026,3,0,0,1,0
E027,3,0,1,0,0
E028,3,0,1,1,1
E029,3,0,2,0,0
E030,3,0,2,1,1
E031,3,1,0,0,0
E032,3,1,0,1,1
E033,3,1,1,0,1
E034,3,1,1,1,1
E035,3,1,2,0,1
E036,3,1,2,1,1
E037,4,0,0,0,0
E038,4,0,0,1,1
E039,4,0,1,0,0
E040,4,0,1,1,1
E041,4,0,2,0,1
E042,4,0,2,1,1
E043,4,1,0,0,1
E044,4,1,0,1,1
E045,4,1,1,0,1
E046,4,1,1,1,1
E047,4,1,2,0,1
E048,4,1,2,1,1
